X,Feature 1,Feature 2,Feature 3,Target
0.365916981631534,0.5796293364516567,0.1413212144148629,0.7878602135954063,1
0.2262006653233481,0.5557993959353643,0.5613073237098508,0.3728552665287893,0
0.28880714532641155,0.7680638036216975,0.7546629896312932,0.8454390017180705,0
0.42943097021621185,0.11250448394962587,0.8113328562555213,0.05819742635538061,0
0.030523671407089004,0.9157978883187727,0.67574997102382,0.40351253607581294,0
0.19161390536821138,0.5254563137298534,0.9347426792298685,0.0874689078955605,0
0.2482923412110855,0.5907351673418035,0.1898228835319834,0.7257433585584868,0
0.08403072606292694,0.07210884548423219,0.4309476498286402,0.8217478895902953,1
0.44985946216316425,0.8126307043871566,0.6877040157630337,0.8972501389075411,0
0.45338438760147387,0.6679331977330449,0.919272553444404,0.9719326236804233,0
0.1379188150578654,0.7282473880918149,0.47847401978659254,0.45884307866645624,0
0.48961111588420875,0.048599045191537904,0.8802033078768325,0.2765880469387072,1
0.3754281150311529,0.8619066570020109,0.9431754335462634,0.41425335447873834,0
0.4873198720590925,0.38306449262984255,0.8756232491506273,0.8227207515316122,1
0.034419795377990114,0.054610450392148124,0.011523192777291746,0.20386431611298195,0
0.010238697036140054,0.2667148657675357,0.23676815044977118,0.8419460656711591,1
0.0513355987189118,0.8903136095515999,0.19987343975293104,0.11332459306246201,0
0.3059642424264251,0.3231386266601364,0.9155961782093112,0.19129431229588922,1
0.1015300821513414,0.029078400409445426,0.7977629102570496,0.1469274719621797,1
0.4162989565127169,0.5957336564401519,0.18549201055401754,0.46989996644238574,0
0.4259568149509616,0.5642208748752668,0.9320625764842654,0.7405975631509515,0
0.3432683835571498,0.3802305751807851,0.7068302022885077,0.23566851055161342,0
0.16831289746995065,0.2533537889773282,0.47627407792881293,0.686285781285483,1
0.1606557104928199,0.25763775094046526,0.7066946715827985,0.2227207843654181,1
0.4280909794231679,0.3834808786427948,0.9630304888687216,0.5111944451464754,1
0.3389170014706554,0.9960461756942192,0.6814479043986322,0.9666373067064327,0
0.48560671348845263,0.7056479732075551,0.0028563230684225394,0.3124585841877622,0
0.22754044786607108,0.7679359045748612,0.04604315957704985,0.959116524377312,1
0.19922704470110325,0.770704810529516,0.9268202791666906,0.5603210714008224,0
0.0367666514364518,0.14765728656723953,0.8675378286263155,0.46686543157881744,1
0.056836641696036416,0.3336810461377771,0.29723955587300355,0.9169328499546813,1
0.26335612552431076,0.08555270079982563,0.4033943909080203,0.6699808426280909,1
