X,Feature 1,Feature 2,Target
0.22428447592448364,0.5481343308562685,0.5244615494357294,1
0.013314797641503506,0.6761574138515507,0.6130026563558976,1
0.41669177047314054,0.930490678145763,0.8001197467361266,0
0.246171543455439,0.20114425739173114,0.11506609435164761,0
0.2311339631319882,0.3667089861118064,0.40589954945817364,0
0.41489011349414623,0.5887595313756875,0.4956380643847331,0
0.1673032429569662,0.2230367778981578,0.6922736036844617,0
0.42703115578238315,0.37364367887510186,0.506265477019755,1
0.3389156519556853,0.04454894108312751,0.2331656612619768,1
0.37397751510198324,0.3831523805639234,0.19620083782505926,1
0.47751009329046906,0.9247625042474729,0.95362997064006,0
0.47663726707985093,0.9721378718376656,0.34833085188845603,0
0.0619986432709958,0.6604621470963914,0.7681194694747566,1
0.44939072860511453,0.4739336562768275,0.8865027602659428,1
0.2516642564595957,0.5657786363435908,0.2935313496669838,0
0.11329495187453953,0.34457097524617314,0.2417780886901233,0
0.19764571046931634,0.9733771685285744,0.9662169470297063,1
0.23476198894121608,0.6381716771855117,0.10805740789888163,1
0.39779144365702285,0.4333508240829893,0.407420268171683,1
0.3804722798340179,0.863411285541279,0.2911472314045086,0
0.2575199689909707,0.7069246264773017,0.9047699180274811,0
0.39545432228652816,0.19057287131864087,0.0417920197193441,1
0.4467372530519123,0.07625159206909143,0.047697580133529094,1
0.26784710785355853,0.2075825446887028,0.1888047132856201,1
0.13418050110267676,0.9294470799290259,0.2989453405660517,1
0.27269529870153986,0.04923587289916087,0.8101018465408414,1
0.3296664106278832,0.29685451706060945,0.5543476343493763,1
0.20501278276019963,0.8887459974511531,0.1910154278174354,1
0.23698677698334447,0.5511895522987389,0.7671423038039887,1
0.19123127171756732,0.9470439079959129,0.08834015437178067,1
0.10936303050124246,0.3637396718569164,0.9039079203133356,0
0.4084741260746984,0.9933139031443032,0.07123082981307005,0
0.35843243090550475,0.3422778124301031,0.13486974183766876,1
0.13667783272341688,0.8313346132757848,0.3392914236407416,1
0.26950526915050416,0.4172011911938811,0.03318075309132673,1
0.15013804363137656,0.8646161774488945,0.07507319115701394,1
0.3371160870364549,0.9965117639621884,0.14705351744241701,0
0.33285224946808567,0.3795781569329287,0.06263474502749966,1
0.4296103200604603,0.4399397981127047,0.7073020431363285,1
0.03259994056771287,0.9278413082673833,0.40087054350210594,1
0.35883903447927545,0.0960056596555861,0.041756811511344805,1
0.2524710452340303,0.4327910815278938,0.19048553079245356,1
0.1665661387406968,0.010344624097171906,0.8970235631882564,0
0.07328824489581603,0.5194277810063165,0.8700743065301333,1
0.1605857642251074,0.5327878893304652,0.6685896825431507,1
0.1836237900358172,0.18558469214132123,0.69339687436101,0
0.38253692385959726,0.09246329694781452,0.3030037355438917,1
0.379501241933349,0.8763351048619626,0.5107333575861588,0
0.3858252126682029,0.8584461498430043,0.32459814691544164,0
0.3346203837275955,0.3262874157077512,0.547803588922652,1
0.7296232926088845,0.017464879036080294,0.6877284535744488,0
0.7968790134559786,0.8663644134335186,0.8406338265670108,1
0.9522709672234355,0.4479310334467508,0.4965318422996415,0
0.5321907173669433,0.7703525534761932,0.3870469280372653,1
0.7608175538345066,0.40398443032972486,0.14487622370632086,0
0.5377259036029574,0.202706683570548,0.6704641350906557,0
0.9610665727339653,0.787574510034893,0.21258502944538904,0
0.5079023930688675,0.04851658097509326,0.7809693704077179,0
0.5597518493106886,0.6285026786700282,0.6906006677394505,0
0.5635922230373809,0.8306571862155162,0.014014814324857683,1
0.9250856504722812,0.34558596643339967,0.6903487088791739,1
0.8256529536777274,0.05747077842450632,0.6883041693443388,1
0.5062181239219852,0.6356234148258345,0.8641644911486492,0
0.6567185676036202,0.06493765106417904,0.5894514813091314,0
0.8624234724882563,0.8266939905545558,0.7706584275110635,1
0.5946991282636184,0.9771204957807905,0.2675291205566377,1
0.6629793354438788,0.08049297493971819,0.8597626473977911,0
0.6464535512522733,0.310905747371656,0.20717751925706035,1
0.8752667454281099,0.17948163994239652,0.5481979164513328,1
0.7434686743315349,0.23079179949024375,0.24712263264967516,1
0.7689188058227165,0.13248801488583262,0.4959217256051952,0
0.5909721813155495,0.8918323581881318,0.23437769652767643,1
0.8377280390821031,0.09541053938243993,0.21102326375992175,0
0.9733771806845584,0.8470280146562208,0.7438623511483587,1
0.6965232694697585,0.4066058849938401,0.0804913497356406,1
0.7648275825158437,0.8647461538530088,0.913940354844198,1
0.9983754923258504,0.476616876590364,0.4801777928540052,0
0.650196707031153,0.42933862110128895,0.8430489475466046,0
0.731517028643818,0.3318775122388199,0.4615290744750027,1
0.7879200664698908,0.1983397580235996,0.4517308428562482,0
0.5682564684315314,0.8569200608498428,0.3362514215852789,1
0.8574400376214191,0.30549688315303825,0.8532950433559388,1
0.7684104359942074,0.8806357151029065,0.09940094810717648,0
0.8837890969956299,0.6796590627496405,0.8470010537237926,1
0.8698242531440846,0.9510040696620208,0.8988810377506368,1
0.7275558255720049,0.33649911411024336,0.585264802021985,0
0.8510405882901433,0.874500824471703,0.7892664811296379,1
0.9953711593187945,0.44979196906006624,0.5986683452266436,1
0.8091338450644021,0.5364128274546998,0.13584210369839278,0
0.6126949158010613,0.9082907295602649,0.3131663041220026,1
0.620871299785523,0.9233706568841871,0.6131710021794865,0
0.9589590931129168,0.37022649820833364,0.04193290586315096,0
0.9513772771603362,0.9533378917424559,0.29968998688059834,0
0.6134538969082219,0.8035720280710291,0.36449214069343067,1
0.9008576069462577,0.8977344400351907,0.8626747968874837,1
0.8827767388723894,0.3871105057780997,0.822210436565014,1
0.7496000829644516,0.7321215101307368,0.9786723526612453,0
0.8999312039614438,0.38992319360271643,0.12257324051526913,0
0.7204850067581059,0.1968164821279026,0.06970658362553545,1
0.6535971325258533,0.16342983251437337,0.30708642447169987,1
